workload,engine,runs,operations_per_sec,best_operations_per_sec,worst_operations_per_sec,points_per_sec,logical_mib_per_sec,p50_us,p99_us,sync_p50_ms,sync_p99_ms,file_bytes,bytes_per_point
append-8-series,chronotail,5,14371274.696137361,18223137.655467965,11656596.57174366,14371274.696137361,219.28824914760378,0.042,0.084,0.749334,0.749334,16021125,16.021125
append-8-series,nanots,5,6649553.331881382,7130499.732160604,5161035.054457151,6649553.331881382,101.46413165102206,0.042,0.125,0.0,0.0,106012672,106.012672
append-8-series,sqlite,5,716347.2593628378,1164014.266158846,663043.3007886817,716347.2593628378,10.93059172611752,0.958,4.791,56.289541,56.289541,36433920,36.43392
append-A-none,chronotail,5,13446499.069502264,14032029.386796443,12816980.608545342,13446499.069502264,205.17729293063758,0.042,0.084,0.307083,0.307083,160198060,16.019806
append-A-none,nanots,5,2827840.5375698623,3606768.19111264,2528213.492921342,2827840.5375698623,43.149422265165136,0.042,0.125,0.0,0.0,800169984,80.0169984
append-A-none,sqlite,5,755632.3536520299,811023.9731184483,558203.5283955047,755632.3536520299,11.530034693176725,1.0,5.584,1958.639166,1958.639166,374206464,37.4206464
append-B-10MiB,chronotail,5,14082778.926600028,15860517.332200462,12710528.050943797,14082778.926600028,214.88615305481,0.042,0.084,0.758958,0.980375,160200358,16.0200358
append-B-10MiB,nanots,5,2329285.0712845735,3489087.5592325344,2135302.1005468136,2329285.0712845735,35.54206956916158,0.042,0.125,0.0,0.0,840015872,84.0015872
append-B-10MiB,sqlite,5,769894.9171266799,856038.8483228862,729912.1515091347,769894.9171266799,11.747664140726927,1.0,3.833,102.796083,123.32975,374206464,37.4206464
append-C-1MiB,chronotail,5,13752866.82806802,20486942.16391999,7912758.413845512,13752866.82806802,209.85209393414337,0.042,0.084,0.408625,0.712417,160330554,16.0330554
append-C-1MiB,nanots,5,2176157.107094805,2465400.5428943154,1450284.720128301,2176157.107094805,33.205522264019855,0.042,0.125,0.0,0.0,812314624,81.2314624
append-C-1MiB,sqlite,5,763464.4421630293,1098592.8590969793,579434.0180143731,763464.4421630293,11.649542879684896,0.917,4.125,12.480459,29.030083,374206464,37.4206464
concurrent-1-readers,chronotail,5,1722958.9894978062,3562209.516312012,1091185.3613487266,172295898.9497806,2629.0267784085177,0.375,1.042,0.0,0.0,0,0
concurrent-1-readers,nanots,5,36012.13731886927,96272.30549348594,27505.718998526674,3601213.731886927,54.95016070384105,19.083,128.834,0.0,0.0,0,0
concurrent-1-readers,sqlite,5,48269.03157522421,79571.77167518802,37084.41451112736,4826903.15752242,73.65269710574982,17.583,48.292,0.0,0.0,0,0
concurrent-1-writer,chronotail,5,7305019.283191995,11655241.80031181,6424359.5062206155,7305019.283191995,111.4657483397216,0.0,0.0,0.0,0.0,1192007220,16.316703824586202
concurrent-1-writer,nanots,5,1989468.2656495755,2634951.742487989,1732828.3307663286,1989468.2656495755,30.356876612084587,0.0,0.0,0.0,0.0,4139597376,207.3182017393285
concurrent-1-writer,sqlite,5,737318.3398146782,1215311.5974572306,582600.2980931543,737318.3398146782,11.25058501914487,0.0,0.0,0.0,0.0,291630256,39.54171299274222
concurrent-32-readers,chronotail,5,8342458.585435315,9558913.93742756,8039095.646499831,834245858.5435315,12729.581581779961,0.25,0.917,0.0,0.0,0,0
concurrent-32-readers,nanots,5,43943.4905746754,51863.08451256342,31609.427060521582,4394349.05746754,67.05244533489288,246.625,6232.083,0.0,0.0,0,0
concurrent-32-readers,sqlite,5,223624.3422407737,236913.70241388577,202536.709130869,22362434.22407737,341.22366674922745,22.0,2357.125,0.0,0.0,0,0
concurrent-32-writer,chronotail,5,1330464.6772771764,1716730.0525497703,1047893.4802462879,1330464.6772771764,20.30127986567957,0.0,0.0,0.0,0.0,233178218,17.221441752485266
concurrent-32-writer,nanots,5,2474912.400381737,2541170.8472999814,1683771.1634296987,2474912.400381737,37.76416626559047,0.0,0.0,0.0,0.0,4139613760,165.64833826209798
concurrent-32-writer,sqlite,5,145687.80882276737,175583.87301740522,138051.33813915888,145687.80882276737,2.223019543804434,0.0,0.0,0.0,0.0,108273144,70.78896908834145
concurrent-8-readers,chronotail,5,6619020.712356712,8026128.608623089,5212578.237729631,661902071.2356712,10099.824085016955,0.292,1.0,0.0,0.0,0,0
concurrent-8-readers,nanots,5,42609.82250010006,57311.415550312595,31029.94502744807,4260982.250010006,65.01742935195932,83.458,1410.958,0.0,0.0,0,0
concurrent-8-readers,sqlite,5,154081.4698114795,198451.44347390262,126750.4595822483,15408146.981147949,235.1096646293327,21.541,319.375,0.0,0.0,0,0
concurrent-8-writer,chronotail,5,3920606.063149447,4692311.985106497,2831173.125880667,3920606.063149447,59.82370091475597,0.0,0.0,0.0,0.0,646315812,16.471704747621455
concurrent-8-writer,nanots,5,2412077.3294935236,2578006.172759119,2008923.5101111266,2412077.3294935236,36.805379173179986,0.0,0.0,0.0,0.0,4139613760,170.17738619075698
concurrent-8-writer,sqlite,5,294437.55557155435,641827.9199228626,263242.2680115396,294437.55557155435,4.492760552544469,0.0,0.0,0.0,0.0,144587280,49.027262369791664
