workload,engine,runs,operations_per_sec,best_operations_per_sec,worst_operations_per_sec,points_per_sec,logical_mib_per_sec,p50_us,p99_us,sync_p50_ms,sync_p99_ms,file_bytes,bytes_per_point
append-8-series,chronotail,5,13020494.257962033,16347393.088580491,12206211.741155075,13020494.257962033,198.67697537173513,0.042,0.084,0.762209,0.762209,16021125,16.021125
append-8-series,nanots,5,8826187.028597765,9660035.15557274,6270637.569645855,8826187.028597765,134.67692609554695,0.041,0.084,0.0,0.0,106012672,106.012672
append-8-series,sqlite,5,817778.8945802511,1013493.3124689384,652538.3236377384,817778.8945802511,12.478315652164476,0.875,4.083,43.205875,43.205875,36433920,36.43392
append-A-none,chronotail,5,21438126.692584317,24153544.06026829,20384014.44818944,21438126.692584317,327.1198530972949,0.041,0.083,0.187333,0.187333,160198060,16.019806
append-A-none,nanots,5,5146822.878409394,5442847.785046701,3609975.916179244,5146822.878409394,78.53428464369803,0.041,0.084,0.0,0.0,800169984,80.0169984
append-A-none,sqlite,5,808631.7994646139,833432.1876974537,700140.7560385419,808631.7994646139,12.338742057260344,0.875,5.25,1836.956125,1836.956125,374206464,37.4206464
append-B-10MiB,chronotail,5,23352361.958770715,24489743.40036252,10115705.124537213,23352361.958770715,356.32876524003166,0.041,0.042,0.772542,0.990542,160200358,16.0200358
append-B-10MiB,nanots,5,4078363.7196920225,5419314.245318841,2421169.055633811,4078363.7196920225,62.23089171893345,0.041,0.125,0.0,0.0,840015872,84.0015872
append-B-10MiB,sqlite,5,841245.6841976461,867902.7967527547,743988.1895035378,841245.6841976461,12.836390444910371,0.875,3.75,97.748916,160.203167,374206464,37.4206464
append-C-1MiB,chronotail,5,21601153.069550853,22267522.180712245,19621300.694885027,21601153.069550853,329.60743819505086,0.041,0.042,0.329458,0.493333,160330554,16.0330554
append-C-1MiB,nanots,5,3287575.5775777074,4554418.384032594,2795918.2061308715,3287575.5775777074,50.16442226528484,0.041,0.125,0.0,0.0,812314624,81.2314624
append-C-1MiB,sqlite,5,890119.984168326,917485.845524735,811932.2043916723,890119.984168326,13.582153078740326,0.875,3.292,10.412958,22.4635,374206464,37.4206464
concurrent-1-readers,chronotail,5,474382.8146968245,585191.0713677168,431211.28525138414,47438281.469682455,723.8507304333871,1.875,4.417,0.0,0.0,0,0
concurrent-1-readers,nanots,5,49590.842413737555,58543.62786787643,38706.780263774934,4959084.241373755,75.66962038228996,17.167,66.917,0.0,0.0,0,0
concurrent-1-readers,sqlite,5,47877.725982723256,61960.71147325329,42450.54146196814,4787772.5982723255,73.05561215625497,18.792,33.709,0.0,0.0,0,0
concurrent-1-writer,chronotail,5,8240909.547928074,10334823.271645084,7603038.833600456,8240909.547928074,125.74630047497672,0.0,0.0,0.0,0.0,1343322342,16.299371781479692
concurrent-1-writer,nanots,5,2254267.9648685697,2568877.438788097,2158876.7454877454,2254267.9648685697,34.397399366280666,0.0,0.0,0.0,0.0,4139613760,182.3214076666875
concurrent-1-writer,sqlite,5,740769.9614163365,951951.0625525588,625535.2903928842,740769.9614163365,11.303252585088142,0.0,0.0,0.0,0.0,289238544,39.01471880975103
concurrent-32-readers,chronotail,5,1263067.5000268407,1404986.1055841874,1149942.9299629373,126306750.00268407,1927.2880554608776,3.583,10.625,0.0,0.0,0,0
concurrent-32-readers,nanots,5,42144.42405773592,44221.94368736577,26750.48460635324,4214442.405773592,64.30728768575428,248.458,5088.75,0.0,0.0,0,0
concurrent-32-readers,sqlite,5,244390.8688789346,259157.38695391733,157616.27776916238,24439086.88789346,372.9108717024759,22.167,2588.833,0.0,0.0,0,0
concurrent-32-writer,chronotail,5,3006202.9131766334,4467622.249039163,1820896.164886314,3006202.9131766334,45.87101613123525,0.0,0.0,0.0,0.0,500841957,16.586085301104625
concurrent-32-writer,nanots,5,2220755.8525175354,2548571.626893639,1558014.4810946872,2220755.8525175354,33.88604511287743,0.0,0.0,0.0,0.0,4139613760,184.70874736419674
concurrent-32-writer,sqlite,5,186418.3471843875,251538.92282466017,103568.48591943427,186418.3471843875,2.8445182370664597,0.0,0.0,0.0,0.0,130688464,69.7822430964479
concurrent-8-readers,chronotail,5,1160764.9895466187,1204543.0022794874,921019.7566631229,116076498.95466186,1771.186812662687,2.917,8.208,0.0,0.0,0,0
concurrent-8-readers,nanots,5,48447.05114708999,52759.867747629185,41555.29519111192,4844705.114708999,73.92433341535948,110.917,1105.042,0.0,0.0,0,0
concurrent-8-readers,sqlite,5,145677.06945832827,173797.36118596882,131670.32067297568,14567706.945832826,222.2855674107792,21.417,261.458,0.0,0.0,0,0
concurrent-8-writer,chronotail,5,4112767.587683602,5394996.572511208,3763894.896061789,4112767.587683602,62.75585308355105,0.0,0.0,0.0,0.0,677415921,16.459469181716823
concurrent-8-writer,nanots,5,2529458.2544245194,2943907.3594225743,1949255.7524720824,2529458.2544245194,38.5964699466632,0.0,0.0,0.0,0.0,4139613760,162.38855526172514
concurrent-8-writer,sqlite,5,479175.8792092922,586061.0150818614,350186.80362294626,479175.8792092922,7.311643664692569,0.0,0.0,0.0,0.0,201086856,41.95531123027857
point-lookup-warm,chronotail,5,852793.9127570508,856946.3764776584,762831.3011621895,852793.9127570508,13.012602428543866,0.916,2.0,0.0,0.0,16022401,160.22401
point-lookup-warm,nanots,5,1397663.1072846202,1495991.692219576,1252468.4117133701,1397663.1072846202,21.326646534494326,0.667,1.917,0.0,0.0,85073920,850.7392
point-lookup-warm,sqlite,5,208622.21686332015,261272.80525885933,142945.55631738866,208622.21686332015,3.1833224008685326,4.25,7.333,0.0,0.0,35966976,359.66976
range-100-compressed-warm,chronotail,5,174457.2615403182,176535.99752233844,153793.96256362437,17445726.15403182,266.20065542651093,5.584,7.916,0.0,0.0,7178293,0.7178293
range-100-raw-warm,chronotail,5,783116.0186381612,797954.5806806132,695410.2920723226,78311601.86381613,1194.9402139864521,1.0,2.167,0.0,0.0,16022401,1.6022401
range-100-raw-warm,nanots,5,106008.28454743739,107115.30360552244,69493.77976778652,10600828.45474374,161.75580527868254,9.334,11.209,0.0,0.0,85073920,8.507392
range-100-raw-warm,sqlite,5,55021.5636385595,60890.71236059004,43125.32073217441,5502156.36385595,83.95624334496993,16.791,30.625,0.0,0.0,35966976,3.5966976
storage-random,nanots,5,4437166.424616058,5668353.963512589,2806392.3584181196,4437166.424616058,67.70578650842374,0.041,0.084,0.0,0.0,800169984,80.0169984
storage-random,sqlite,5,778471.8968385389,845565.7960420661,653928.1606150898,778471.8968385389,11.878538464943526,0.875,4.584,1780.786792,1780.786792,374206464,37.4206464
storage-random-compressed,chronotail,5,7244794.4172472,7297833.363986301,3406746.5932001765,7244794.4172472,110.54678981395264,0.041,0.042,0.201292,0.201292,107845511,10.7845511
storage-random-raw,chronotail,5,24503325.2543828,25729920.272445686,15145534.38651593,24503325.2543828,373.8910713864563,0.041,0.042,0.198208,0.198208,160198060,16.019806
storage-smooth,nanots,5,4533608.60328796,5927277.053559918,1249222.4044936677,4533608.60328796,69.17737736950623,0.041,0.084,0.0,0.0,800169984,80.0169984
storage-smooth,sqlite,5,792344.98082436,870805.6737886709,676552.796296903,792344.98082436,12.090224927129517,0.875,4.25,1882.222708,1882.222708,374206464,37.4206464
storage-smooth-compressed,chronotail,5,7520963.510635348,7612879.492973883,3211617.2757751797,7520963.510635348,114.76079575554425,0.041,0.042,0.280167,0.280167,71759521,7.1759521
storage-smooth-raw,chronotail,5,23881074.6364181,24677830.917373683,7682435.2665866185,23881074.6364181,364.3962804629227,0.041,0.042,0.194167,0.194167,160198060,16.019806
