workload,engine,runs,operations_per_sec,best_operations_per_sec,worst_operations_per_sec,points_per_sec,best_points_per_sec,worst_points_per_sec,logical_mib_per_sec,p50_us,p95_us,p99_us,max_us,sync_p50_ms,sync_p95_ms,sync_p99_ms,sync_max_ms,file_bytes,bytes_per_point,latency_scope
concurrent-2-writer,nanots,5,2575256.603529246,2756125.29721679,2479820.934423715,2575256.603529246,2756125.29721679,2479820.934423715,39.29529729506296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4139613760.0,159.9146115367679,operation
concurrent-2-writer,sqlite,5,1188474.689988997,1409237.6198568735,28849.891241642643,1188474.689988997,1409237.6198568735,28849.891241642643,18.134684600662187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487524280.0,37.32359298593319,operation
concurrent-32-readers,chronotail,5,7396639.647424813,7489795.959097145,5341255.942713666,739663964.7424814,748979595.9097145,534125594.2713666,11286.37641513796,0.584,1.416,1.667,44410.541,0.0,0.0,0.0,0.0,0.0,0,operation
concurrent-32-readers,nanots,5,33119.80250695724,44798.545605890016,30988.059553006027,3311980.250695724,4479854.5605890015,3098805.9553006026,50.53680802453192,356.917,1240.542,3980.75,250624.667,0.0,0.0,0.0,0.0,0.0,0,operation
concurrent-32-readers,sqlite,5,392553.0824016145,504670.92395634565,348579.8818241788,39255308.24016145,50467092.39563457,34857988.18241788,598.9884680200416,13.875,64.666,773.125,76138.0,0.0,0.0,0.0,0.0,0.0,0,operation
concurrent-32-writer,chronotail,5,3534933.6935271434,6886738.974541979,3311682.0176363504,3534933.6935271434,6886738.974541979,3311682.0176363504,53.9388075794547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596052880.0,16.695859326447387,operation
concurrent-32-writer,nanots,5,2549269.3618553076,2568136.7533909725,2352570.4749783054,2549269.3618553076,2568136.7533909725,2352570.4749783054,38.89876345604412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4139613760.0,161.19133849811573,operation
concurrent-32-writer,sqlite,5,279573.17919979244,346343.0103429215,220331.11098826688,279573.17919979244,346343.0103429215,220331.11098826688,4.2659481689421455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169677864.0,60.50185077091981,operation
concurrent-4-readers,chronotail,5,5063252.477027924,5626119.020222718,854044.5429630748,506325247.7027924,562611902.0222719,85404454.29630747,7725.910151714972,0.541,1.25,1.625,1042.75,0.0,0.0,0.0,0.0,0.0,0,operation
concurrent-4-readers,nanots,5,128458.11054622087,131831.30061940203,107882.13598726614,12845811.054622088,13183130.061940202,10788213.598726615,196.0115212192091,26.958,65.75,135.041,1519.709,0.0,0.0,0.0,0.0,0.0,0,operation
concurrent-4-readers,sqlite,5,216755.36535259592,289700.097234912,12367.058502411508,21675536.535259593,28970009.7234912,1236705.8502411507,330.7424398080382,9.125,22.5,34.375,1176.708,0.0,0.0,0.0,0.0,0.0,0,operation
concurrent-4-writer,chronotail,5,8985295.75412871,10228979.43413434,1571293.5299806038,8985295.75412871,10228979.43413434,1571293.5299806038,137.10473257642684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476134048.0,16.427333999225404,operation
concurrent-4-writer,nanots,5,2574448.298171472,2754981.7294928553,2160584.960616506,2574448.298171472,2754981.7294928553,2160584.960616506,39.28296353411059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4139613760.0,159.8996570798007,operation
concurrent-4-writer,sqlite,5,956612.2834006837,1261578.7520106323,37650.84720051994,956612.2834006837,1261578.7520106323,37650.84720051994,14.596745047007502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367947240.0,38.45499535129495,operation
concurrent-8-readers,chronotail,5,6091646.95745877,6706451.464169124,1112622.7440206253,609164695.745877,670645146.4169124,111262274.40206254,9295.115596708329,0.625,1.417,1.667,4553.208,0.0,0.0,0.0,0.0,0.0,0,operation
concurrent-8-readers,nanots,5,57829.13340571525,68285.04674378784,35843.84877924031,5782913.340571525,6828504.674378783,3584384.8779240306,88.24025483049812,112.25,319.875,428.083,1310.25,0.0,0.0,0.0,0.0,0.0,0,operation
